"objectcode","objectdescription","recologyid","roadwayid","roadwaydescription","cantype","cancolor","streetcorner","onstreet","fromstreet","installeddate","removeddate","latitude","longitude","globalid","objectid","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"CAN-2337665","2001 HAYES ST","10512337665","6831000","HAYES ST: ASHBURY ST - CLAYTON ST","RENAISSANCE / METAL",,,"HAYES ST","ASHBURY ST","1992/07/14 12:00:00 AM",,"37.773811","-122.447948","a30041af-f892-4542-8df4-0a42b5f418fd","448","POINT (-122.447948 37.773811)","Lone Mountain/USF","5","2026/02/05 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-5744586","2000 OFARRELL ST","10515744586","9739000","OFARRELL ST: PIERCE ST - SCOTT ST","CEMENT / CONCRETE",,"NW","OFARRELL ST","PIERCE ST","2015/04/20 12:00:00 AM",,"37.782908","-122.436064","2e32ad91-ec0e-4ce6-a990-50af28138bc2","846","POINT (-122.436064 37.782908)","Western Addition","5","2026/02/06 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-1375658","SEVEN SEAS AVE: BRUTON ST - CRAVATH ST | CCAN","10011375658","14320000","SEVEN SEAS AVE: BRUTON ST - CRAVATH ST","RENAISSANCE / METAL",,,"SEVEN SEAS AVE","BRUTON ST","2024/10/28 12:00:00 AM",,,,"0870bd1a-3881-406a-b86a-3841ac4ad3b2","1699",,,,"2025/11/11 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-6964535","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE | CCAN",,"14257000","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE","RENAISSANCE / METAL","grey","NW","TRADE WINDS AVE","TREASURE ISLAND RD",,,,,"7f6388ae-34d8-459d-a79b-161c86085350","2896",,,,"2026/02/05 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-6964538","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE | CCAN",,"14257000","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE","RENAISSANCE / METAL",,"SE","TRADE WINDS AVE","TREASURE ISLAND RD",,,,,"ad2cbec5-a07e-4c38-b91a-7e9955541a84","2900",,,,"2026/02/06 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-6964536","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE | CCAN",,"14257000","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE","RENAISSANCE / METAL",,"SW","TRADE WINDS AVE","TREASURE ISLAND RD",,,,,"367ccfb4-ccd6-49f0-bfb0-e831b33776f6","2902",,,,"2026/02/06 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-6964539","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE | CCAN",,"14257000","TRADE WINDS AVE: TREASURE ISLAND RD - SEVEN SEAS AVE","RENAISSANCE / METAL",,"W","TRADE WINDS AVE","TREASURE ISLAND RD",,,,,"e0fbe5c8-e5f7-4cfc-8a91-8cfa94385ea0","2903",,,,"2026/02/06 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-5708557","28TH AVE / FULTON ST | CCAN","10515708557","27527000","28th Ave / Fulton St","RENAISSANCE / METAL","green","SW","28TH AVE","FULTON ST","2014/12/01 12:00:00 AM",,"37.772423","-122.487398","b76cb89b-b201-41c1-ad60-1cc0e142eb88","2277","POINT (-122.487398 37.772423)","Outer Richmond","1","2026/02/06 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-6156723","28TH AVE / FULTON ST | CCAN","10516156723","27527000","28th Ave / Fulton St","RENAISSANCE / METAL","green","NW","28TH AVE","FULTON ST","2018/09/19 12:00:00 AM",,"37.772423","-122.487398","83bb3981-7b42-498a-b608-f4ff61221062","2495","POINT (-122.487398 37.772423)","Outer Richmond","1","2026/02/06 12:00:00 AM","2026/02/14 09:35:07 AM"
"CAN-1364108","2500 WASHINGTON ST","10011364108","13440000","WASHINGTON ST: FILLMORE ST - STEINER ST","RENAISSANCE / METAL",,"W","WASHINGTON ST","FILLMORE ST","2024/05/01 12:00:00 AM",,"37.791676","-122.434579","091671ee-2582-4d4b-9d16-8989af9cf29b","363","POINT (-122.434579 37.791676)","Pacific Heights","2","2026/01/14 12:00:00 AM","2026/02/14 09:35:07 AM"
